#
# Enosys Beta SOC Intel Feed
#
# We monitor the quality of the information available on this website and update the information regularly. However, Enosys Solutions and its employees, do not guarantee, and accept no legal liability whatsoever arising from or connected to, the accuracy, reliability, currency or completeness of any material contained on this web site or on any linked site.
#
# We recommend you exercise your own skill and care with respect to the use of this website and that you carefully evaluate the accuracy, currency, completeness and relevance of the material on the web site for your purposes.
#
#
asn,signature
AS138454,"High % of Obfuscation in AS 0.0977%"
AS138474,"High % of Obfuscation in AS 0.5208%"
AS138482,"High % of Obfuscation in AS 0.1776%"
AS138501,"High % of Obfuscation in AS 0.1953%"
AS138522,"High % of Obfuscation in AS 0.0977%"
AS138536,"High % of Obfuscation in AS 0.0391%"
AS138600,"High % of Obfuscation in AS 0.7813%"
AS138619,"High % of Obfuscation in AS 0.0977%"
AS138692,"High % of Obfuscation in AS 0.3906%"
AS138716,"High % of Obfuscation in AS 0.1465%"
AS138718,"High % of Obfuscation in AS 0.0977%"
AS138730,"High % of Obfuscation in AS 0.0195%"
AS138735,"High % of Obfuscation in AS 0.0977%"
AS13876,"High % of Obfuscation in AS 0.0248%"
AS138762,"High % of Obfuscation in AS 4.2969%"
AS138766,"High % of Obfuscation in AS 0.7813%"
AS138767,"High % of Obfuscation in AS 0.3906%"
AS138768,"High % of Obfuscation in AS 0.1953%"
AS138797,"High % of Obfuscation in AS 0.6250%"
AS138800,"High % of Obfuscation in AS 0.0977%"
AS138807,"High % of Obfuscation in AS 0.3906%"
AS138814,"High % of Obfuscation in AS 1.1719%"
AS138823,"High % of Obfuscation in AS 0.0710%"
AS138829,"High % of Obfuscation in AS 0.5859%"
AS138832,"High % of Obfuscation in AS 1.7578%"
AS138840,"High % of Obfuscation in AS 0.1953%"
AS138841,"High % of Obfuscation in AS 0.1386%"
AS138849,"High % of Obfuscation in AS 0.1953%"
AS138862,"High % of Obfuscation in AS 0.1953%"
AS138881,"High % of Obfuscation in AS 0.1953%"
AS138886,"High % of Obfuscation in AS 0.3906%"
AS138934,"High % of Obfuscation in AS 0.0977%"
AS139026,"High % of Obfuscation in AS 0.1953%"
AS139039,"High % of Obfuscation in AS 0.1953%"
AS139042,"High % of Obfuscation in AS 0.1953%"
AS139043,"High % of Obfuscation in AS 0.0230%"
AS139195,"High % of Obfuscation in AS 0.0710%"
AS139265,"High % of Obfuscation in AS 0.0391%"
AS139276,"High % of Obfuscation in AS 0.1953%"
AS139284,"High % of Obfuscation in AS 0.1953%"
AS139294,"High % of Obfuscation in AS 0.1953%"
AS139300,"High % of Obfuscation in AS 0.2604%"
AS139327,"High % of Obfuscation in AS 0.1674%"
AS139335,"High % of Obfuscation in AS 0.1953%"
AS139351,"High % of Obfuscation in AS 0.0781%"
AS139400,"High % of Obfuscation in AS 0.9766%"
AS139405,"High % of Obfuscation in AS 1.5625%"
AS139409,"High % of Obfuscation in AS 0.1953%"
AS139417,"High % of Obfuscation in AS 0.1953%"
AS139418,"High % of Obfuscation in AS 0.1953%"
AS139426,"High % of Obfuscation in AS 0.1953%"
AS139428,"High % of Obfuscation in AS 0.5859%"
AS139429,"High % of Obfuscation in AS 1.5625%"
AS139440,"High % of Obfuscation in AS 0.1953%"
AS139449,"High % of Obfuscation in AS 0.1953%"
AS139457,"High % of Obfuscation in AS 0.0781%"
AS139460,"High % of Obfuscation in AS 0.2441%"
AS139488,"High % of Obfuscation in AS 0.3906%"
AS139508,"High % of Obfuscation in AS 0.3906%"
AS139523,"High % of Obfuscation in AS 1.5625%"
AS139541,"High % of Obfuscation in AS 0.0977%"
AS139549,"High % of Obfuscation in AS 0.5859%"
AS139564,"High % of Obfuscation in AS 0.3906%"
AS139628,"High % of Obfuscation in AS 0.0391%"
AS139640,"High % of Obfuscation in AS 0.0434%"
AS139659,"High % of Obfuscation in AS 0.0150%"
AS139708,"High % of Obfuscation in AS 7.8125%"
AS139722,"High % of Obfuscation in AS 0.1953%"
AS139755,"High % of Obfuscation in AS 0.5859%"
AS139778,"High % of Obfuscation in AS 0.3906%"
AS139780,"High % of Obfuscation in AS 0.2604%"
AS139806,"High % of Obfuscation in AS 1.3672%"
AS139841,"High % of Obfuscation in AS 0.1953%"
AS139844,"High % of Obfuscation in AS 0.1953%"
AS139850,"High % of Obfuscation in AS 0.1953%"
AS139924,"High % of Obfuscation in AS 0.1953%"
AS139925,"High % of Obfuscation in AS 0.1953%"
AS139940,"High % of Obfuscation in AS 0.1953%"
AS139941,"High % of Obfuscation in AS 0.3906%"
AS139955,"High % of Obfuscation in AS 0.1953%"
AS139956,"High % of Obfuscation in AS 0.1953%"
AS139962,"High % of Obfuscation in AS 0.1953%"
AS139967,"High % of Obfuscation in AS 0.0781%"
AS139971,"High % of Obfuscation in AS 0.3906%"
AS139974,"High % of Obfuscation in AS 0.3906%"
AS139980,"High % of Obfuscation in AS 1.9531%"
AS139981,"High % of Obfuscation in AS 0.1953%"
AS139988,"High % of Obfuscation in AS 0.1953%"
AS139989,"High % of Obfuscation in AS 0.2441%"
AS139995,"High % of Obfuscation in AS 0.1953%"
AS139996,"High % of Obfuscation in AS 10.9375%"
AS140031,"High % of Obfuscation in AS 0.1736%"
AS140061,"High % of Obfuscation in AS 0.0204%"
AS140139,"High % of Obfuscation in AS 0.1953%"
AS140169,"High % of Obfuscation in AS 1.1719%"
AS140288,"High % of Obfuscation in AS 1.1719%"
AS140380,"High % of Obfuscation in AS 0.5859%"
AS140384,"High % of Obfuscation in AS 0.1953%"
AS140389,"High % of Obfuscation in AS 0.1302%"
AS140429,"High % of Obfuscation in AS 1.9531%"
AS140443,"High % of Obfuscation in AS 0.3255%"
AS140454,"High % of Obfuscation in AS 0.3906%"
AS140464,"High % of Obfuscation in AS 0.1953%"
AS140478,"High % of Obfuscation in AS 0.3906%"
AS140544,"High % of Obfuscation in AS 0.2604%"
AS140607,"High % of Obfuscation in AS 0.0710%"
AS140608,"High % of Obfuscation in AS 0.7813%"
AS14061,"High % of Obfuscation in AS 0.0221%"
AS140770,"High % of Obfuscation in AS 0.0977%"
AS14080,"High % of Obfuscation in AS 0.0141%"
AS140849,"High % of Obfuscation in AS 0.1953%"
AS140900,"High % of Obfuscation in AS 0.0781%"
AS140966,"High % of Obfuscation in AS 0.7813%"
AS141053,"High % of Obfuscation in AS 0.3906%"
AS141062,"High % of Obfuscation in AS 0.1953%"
AS141064,"High % of Obfuscation in AS 0.3906%"
AS141065,"High % of Obfuscation in AS 0.1953%"
AS141077,"High % of Obfuscation in AS 0.1953%"
AS141083,"High % of Obfuscation in AS 0.7813%"
AS141084,"High % of Obfuscation in AS 0.3906%"
AS141097,"High % of Obfuscation in AS 0.5859%"
AS141105,"High % of Obfuscation in AS 0.7813%"
AS141107,"High % of Obfuscation in AS 0.0781%"
AS141126,"High % of Obfuscation in AS 0.3906%"
AS141127,"High % of Obfuscation in AS 0.7813%"
AS141194,"High % of Obfuscation in AS 0.5859%"
AS141209,"High % of Obfuscation in AS 0.3906%"
AS141254,"High % of Obfuscation in AS 0.1953%"
AS141411,"High % of Obfuscation in AS 0.1953%"
AS141412,"High % of Obfuscation in AS 0.1953%"
AS141447,"High % of Obfuscation in AS 0.3906%"
AS141522,"High % of Obfuscation in AS 0.5859%"
AS141559,"High % of Obfuscation in AS 0.1953%"
AS141580,"High % of Obfuscation in AS 3.9063%"
AS141590,"High % of Obfuscation in AS 0.1953%"
AS141592,"High % of Obfuscation in AS 0.1953%"
AS141596,"High % of Obfuscation in AS 0.1953%"
AS141601,"High % of Obfuscation in AS 0.1953%"
AS141604,"High % of Obfuscation in AS 0.3906%"
AS141616,"High % of Obfuscation in AS 0.5859%"
AS141639,"High % of Obfuscation in AS 0.1953%"
AS141648,"High % of Obfuscation in AS 0.1953%"
AS141771,"High % of Obfuscation in AS 0.0580%"
AS141914,"High % of Obfuscation in AS 0.1953%"
AS141941,"High % of Obfuscation in AS 0.5859%"
AS141957,"High % of Obfuscation in AS 0.1953%"
AS141964,"High % of Obfuscation in AS 0.7813%"
AS141968,"High % of Obfuscation in AS 0.5859%"
AS141995,"High % of Obfuscation in AS 0.0115%"
AS142002,"High % of Obfuscation in AS 0.0126%"
AS142165,"High % of Obfuscation in AS 0.1953%"
AS14220,"High % of Obfuscation in AS 0.8301%"
AS14457,"High % of Obfuscation in AS 0.0326%"
AS14463,"High % of Obfuscation in AS 0.0170%"
AS14576,"High % of Obfuscation in AS 0.0178%"
AS14868,"High % of Obfuscation in AS 0.0290%"
AS14979,"High % of Obfuscation in AS 0.0143%"
AS14988,"High % of Obfuscation in AS 0.0562%"
AS15154,"High % of Obfuscation in AS 0.0217%"
AS15311,"High % of Obfuscation in AS 0.0112%"
AS15377,"High % of Obfuscation in AS 0.0165%"
AS15461,"High % of Obfuscation in AS 0.0710%"
AS15491,"High % of Obfuscation in AS 0.0136%"
AS15493,"High % of Obfuscation in AS 0.0176%"
AS15626,"High % of Obfuscation in AS 0.0110%"
AS15672,"High % of Obfuscation in AS 0.0143%"
AS15808,"High % of Obfuscation in AS 0.0337%"
AS15836,"High % of Obfuscation in AS 0.0123%"
AS15874,"High % of Obfuscation in AS 0.3546%"
AS15895,"High % of Obfuscation in AS 0.0104%"
AS15969,"High % of Obfuscation in AS 0.0326%"
AS16007,"High % of Obfuscation in AS 0.0195%"
AS16066,"High % of Obfuscation in AS 0.0244%"
AS16143,"High % of Obfuscation in AS 0.0186%"
AS16148,"High % of Obfuscation in AS 0.0977%"
AS16190,"High % of Obfuscation in AS 0.0488%"
AS16276,"High % of Obfuscation in AS 0.0150%"
AS16750,"High % of Obfuscation in AS 3.0273%"
AS16814,"High % of Obfuscation in AS 0.0151%"
AS17069,"High % of Obfuscation in AS 0.0651%"
AS17143,"High % of Obfuscation in AS 0.0130%"
AS17411,"High % of Obfuscation in AS 0.0132%"
AS17451,"High % of Obfuscation in AS 0.3264%"
AS17454,"High % of Obfuscation in AS 0.2404%"
AS17469,"High % of Obfuscation in AS 0.0340%"
AS17483,"High % of Obfuscation in AS 0.0484%"
AS17501,"High % of Obfuscation in AS 0.1568%"
AS17538,"High % of Obfuscation in AS 0.0977%"
AS17539,"High % of Obfuscation in AS 0.2287%"
AS17554,"High % of Obfuscation in AS 0.0118%"
AS17563,"High % of Obfuscation in AS 0.0159%"
AS17564,"High % of Obfuscation in AS 0.0163%"
AS17615,"High % of Obfuscation in AS 0.0100%"
AS17665,"High % of Obfuscation in AS 0.0208%"
AS17670,"High % of Obfuscation in AS 0.0732%"
AS17726,"High % of Obfuscation in AS 0.0919%"
AS17727,"High % of Obfuscation in AS 0.0434%"
AS17754,"High % of Obfuscation in AS 0.0316%"
AS17787,"High % of Obfuscation in AS 0.1028%"
AS17882,"High % of Obfuscation in AS 0.0315%"
AS17885,"High % of Obfuscation in AS 0.0109%"
AS17993,"High % of Obfuscation in AS 0.0112%"
AS17995,"High % of Obfuscation in AS 0.0674%"
AS17996,"High % of Obfuscation in AS 0.0434%"
AS18002,"High % of Obfuscation in AS 0.1308%"
AS18013,"High % of Obfuscation in AS 0.0248%"
AS18031,"High % of Obfuscation in AS 0.0112%"
AS18059,"High % of Obfuscation in AS 0.0193%"
AS18103,"High % of Obfuscation in AS 0.1126%"
AS18109,"High % of Obfuscation in AS 0.5022%"
AS18112,"High % of Obfuscation in AS 0.0244%"
AS18196,"High % of Obfuscation in AS 0.0122%"
AS1820,"High % of Obfuscation in AS 0.0105%"
AS18229,"High % of Obfuscation in AS 0.0373%"
AS18230,"High % of Obfuscation in AS 0.0150%"
AS18254,"High % of Obfuscation in AS 0.0434%"
AS18257,"High % of Obfuscation in AS 0.0112%"
AS18351,"High % of Obfuscation in AS 0.0558%"
AS18840,"High % of Obfuscation in AS 0.0428%"
AS18978,"High % of Obfuscation in AS 0.0153%"
AS19089,"High % of Obfuscation in AS 0.0268%"
AS19114,"High % of Obfuscation in AS 0.0109%"
AS19624,"High % of Obfuscation in AS 0.0279%"
AS196645,"High % of Obfuscation in AS 0.0195%"
AS196705,"High % of Obfuscation in AS 0.0217%"
AS196735,"High % of Obfuscation in AS 0.0122%"
AS196749,"High % of Obfuscation in AS 0.0326%"
AS196782,"High % of Obfuscation in AS 0.0244%"
AS196798,"High % of Obfuscation in AS 0.8138%"
AS196815,"High % of Obfuscation in AS 0.0488%"
AS196838,"High % of Obfuscation in AS 0.0195%"
AS196865,"High % of Obfuscation in AS 0.0140%"
AS196903,"High % of Obfuscation in AS 0.0244%"
AS196906,"High % of Obfuscation in AS 0.1302%"
AS196954,"High % of Obfuscation in AS 0.0118%"
AS196994,"High % of Obfuscation in AS 0.1465%"
AS197025,"High % of Obfuscation in AS 0.0488%"
AS197052,"High % of Obfuscation in AS 0.3906%"
AS197063,"High % of Obfuscation in AS 0.0732%"
AS197070,"High % of Obfuscation in AS 0.0163%"
AS197078,"High % of Obfuscation in AS 0.0117%"
AS197099,"High % of Obfuscation in AS 0.0391%"
AS19711,"High % of Obfuscation in AS 0.0170%"
AS197155,"High % of Obfuscation in AS 0.0182%"
AS197181,"High % of Obfuscation in AS 0.0434%"
AS197186,"High % of Obfuscation in AS 0.0488%"
AS197204,"High % of Obfuscation in AS 0.0391%"
AS197235,"High % of Obfuscation in AS 0.0533%"
AS197309,"High % of Obfuscation in AS 0.0217%"
AS197343,"High % of Obfuscation in AS 0.0536%"
AS197345,"High % of Obfuscation in AS 0.0391%"
AS197348,"High % of Obfuscation in AS 0.3906%"
AS197349,"High % of Obfuscation in AS 0.0178%"
AS197418,"High % of Obfuscation in AS 0.3906%"
AS197422,"High % of Obfuscation in AS 0.0488%"
AS197447,"High % of Obfuscation in AS 0.0434%"
AS197453,"High % of Obfuscation in AS 0.0122%"
AS197499,"High % of Obfuscation in AS 0.0488%"
AS197540,"High % of Obfuscation in AS 0.0106%"
AS197618,"High % of Obfuscation in AS 0.0244%"
AS197628,"High % of Obfuscation in AS 0.0326%"
AS197663,"High % of Obfuscation in AS 0.0391%"
AS197701,"High % of Obfuscation in AS 0.3906%"
AS197711,"High % of Obfuscation in AS 0.0837%"
AS197733,"High % of Obfuscation in AS 0.1953%"
AS197786,"High % of Obfuscation in AS 0.0977%"
AS197792,"High % of Obfuscation in AS 0.0651%"
AS197798,"High % of Obfuscation in AS 0.0109%"
AS197833,"High % of Obfuscation in AS 0.0300%"
AS197838,"High % of Obfuscation in AS 0.6250%"
AS197853,"High % of Obfuscation in AS 0.0279%"
AS197882,"High % of Obfuscation in AS 0.0300%"
AS197886,"High % of Obfuscation in AS 0.0217%"
AS197889,"High % of Obfuscation in AS 0.0230%"
AS197893,"High % of Obfuscation in AS 0.0977%"
AS198004,"High % of Obfuscation in AS 0.0217%"
AS198093,"High % of Obfuscation in AS 0.7813%"
AS198133,"High % of Obfuscation in AS 0.0488%"
AS198137,"High % of Obfuscation in AS 0.1302%"
AS198227,"High % of Obfuscation in AS 0.1302%"
AS198247,"High % of Obfuscation in AS 0.0126%"
AS198279,"High % of Obfuscation in AS 0.1302%"
AS198325,"High % of Obfuscation in AS 0.0488%"
AS198327,"High % of Obfuscation in AS 0.5859%"
AS198354,"High % of Obfuscation in AS 0.0651%"
AS198374,"High % of Obfuscation in AS 0.1302%"
AS198377,"High % of Obfuscation in AS 0.0488%"
AS198380,"High % of Obfuscation in AS 1.7904%"
AS198389,"High % of Obfuscation in AS 0.0488%"
AS198394,"High % of Obfuscation in AS 0.0469%"
AS198397,"High % of Obfuscation in AS 0.0977%"
AS198399,"High % of Obfuscation in AS 0.1395%"
AS198402,"High % of Obfuscation in AS 0.1953%"
AS198493,"High % of Obfuscation in AS 0.5208%"
AS198509,"High % of Obfuscation in AS 0.0977%"
AS198569,"High % of Obfuscation in AS 0.4883%"
AS198579,"High % of Obfuscation in AS 0.0488%"
AS198580,"High % of Obfuscation in AS 0.1953%"
AS198610,"High % of Obfuscation in AS 0.0155%"
AS198765,"High % of Obfuscation in AS 0.3906%"
AS198766,"High % of Obfuscation in AS 0.0230%"
AS198770,"High % of Obfuscation in AS 0.0217%"
AS198820,"High % of Obfuscation in AS 0.0521%"
AS198885,"High % of Obfuscation in AS 0.0488%"
AS198898,"High % of Obfuscation in AS 1.8066%"
AS198927,"High % of Obfuscation in AS 0.0977%"
AS198985,"High % of Obfuscation in AS 0.0434%"
AS199008,"High % of Obfuscation in AS 0.0244%"
AS199046,"High % of Obfuscation in AS 0.1838%"
AS199051,"High % of Obfuscation in AS 0.2734%"
AS199082,"High % of Obfuscation in AS 0.1953%"
AS199118,"High % of Obfuscation in AS 0.0260%"
AS199128,"High % of Obfuscation in AS 0.0186%"
AS199173,"High % of Obfuscation in AS 0.0391%"
AS199224,"High % of Obfuscation in AS 0.0977%"
AS199246,"High % of Obfuscation in AS 0.0977%"
AS199250,"High % of Obfuscation in AS 0.6138%"
AS199319,"High % of Obfuscation in AS 0.0170%"
AS199341,"High % of Obfuscation in AS 0.1302%"
AS199449,"High % of Obfuscation in AS 0.1953%"
AS199482,"High % of Obfuscation in AS 0.0868%"
AS199490,"High % of Obfuscation in AS 0.0977%"
AS199493,"High % of Obfuscation in AS 0.0156%"
AS199634,"High % of Obfuscation in AS 0.0326%"
AS199653,"High % of Obfuscation in AS 0.0195%"
AS199752,"High % of Obfuscation in AS 0.0488%"
AS199860,"High % of Obfuscation in AS 0.0135%"
AS199899,"High % of Obfuscation in AS 0.1953%"
AS199995,"High % of Obfuscation in AS 0.0244%"
AS200019,"High % of Obfuscation in AS 0.0296%"
AS200024,"High % of Obfuscation in AS 0.9766%"
AS200059,"High % of Obfuscation in AS 0.0326%"
AS200088,"High % of Obfuscation in AS 0.0140%"
AS200100,"High % of Obfuscation in AS 0.0732%"
AS200154,"High % of Obfuscation in AS 1.7578%"
AS200294,"High % of Obfuscation in AS 0.3906%"
AS200313,"High % of Obfuscation in AS 0.0211%"
AS200406,"High % of Obfuscation in AS 0.2344%"
AS200509,"High % of Obfuscation in AS 2.6611%"
AS200590,"High % of Obfuscation in AS 0.0701%"
AS200635,"High % of Obfuscation in AS 0.0977%"
AS200651,"High % of Obfuscation in AS 0.7583%"
AS200678,"High % of Obfuscation in AS 0.0781%"
AS200709,"High % of Obfuscation in AS 0.1302%"
AS200740,"High % of Obfuscation in AS 0.0651%"
AS200752,"High % of Obfuscation in AS 0.1628%"
AS200780,"High % of Obfuscation in AS 0.0391%"
AS200814,"High % of Obfuscation in AS 0.0977%"
AS200984,"High % of Obfuscation in AS 0.2604%"
AS201036,"High % of Obfuscation in AS 0.1563%"
AS201049,"High % of Obfuscation in AS 0.0977%"
AS201058,"High % of Obfuscation in AS 0.0558%"
AS201167,"High % of Obfuscation in AS 0.0434%"
AS201250,"High % of Obfuscation in AS 0.0150%"
AS201295,"High % of Obfuscation in AS 0.0355%"
AS201337,"High % of Obfuscation in AS 0.0118%"
AS201453,"High % of Obfuscation in AS 0.0221%"
AS201553,"High % of Obfuscation in AS 0.0558%"
AS201602,"High % of Obfuscation in AS 1.2784%"
AS201825,"High % of Obfuscation in AS 0.0145%"
AS201826,"High % of Obfuscation in AS 0.0391%"
AS201986,"High % of Obfuscation in AS 0.0300%"
AS202004,"High % of Obfuscation in AS 0.0488%"
AS202120,"High % of Obfuscation in AS 0.0133%"
AS202131,"High % of Obfuscation in AS 0.3906%"
AS202169,"High % of Obfuscation in AS 0.0326%"
AS202170,"High % of Obfuscation in AS 0.1953%"
AS202228,"High % of Obfuscation in AS 0.0150%"
AS202235,"High % of Obfuscation in AS 0.1953%"
AS202245,"High % of Obfuscation in AS 0.1953%"
AS202269,"High % of Obfuscation in AS 0.2170%"
AS202281,"High % of Obfuscation in AS 0.8398%"
AS202316,"High % of Obfuscation in AS 0.1302%"
AS202391,"High % of Obfuscation in AS 0.2658%"
AS202423,"High % of Obfuscation in AS 0.0274%"
AS202441,"High % of Obfuscation in AS 0.0109%"
AS202448,"High % of Obfuscation in AS 0.0159%"
AS202468,"High % of Obfuscation in AS 0.0613%"
AS202491,"High % of Obfuscation in AS 0.0289%"
AS202505,"High % of Obfuscation in AS 0.0186%"
AS20255,"High % of Obfuscation in AS 0.0122%"
AS202561,"High % of Obfuscation in AS 0.9766%"
AS202618,"High % of Obfuscation in AS 0.0195%"
AS202652,"High % of Obfuscation in AS 0.0488%"
AS202657,"High % of Obfuscation in AS 0.3906%"
AS202696,"High % of Obfuscation in AS 0.3906%"
AS202719,"High % of Obfuscation in AS 0.0977%"
AS202759,"High % of Obfuscation in AS 0.1465%"
AS202765,"High % of Obfuscation in AS 0.0488%"
AS202774,"High % of Obfuscation in AS 0.1953%"
AS202879,"High % of Obfuscation in AS 0.3906%"
AS202991,"High % of Obfuscation in AS 0.0488%"
AS202999,"High % of Obfuscation in AS 0.0781%"
AS203084,"High % of Obfuscation in AS 0.6836%"
AS203157,"High % of Obfuscation in AS 0.7813%"
AS203180,"High % of Obfuscation in AS 0.7813%"
AS203214,"High % of Obfuscation in AS 0.0977%"
AS203217,"High % of Obfuscation in AS 0.1019%"
AS203272,"High % of Obfuscation in AS 2.7344%"
AS203301,"High % of Obfuscation in AS 0.0977%"
AS203374,"High % of Obfuscation in AS 0.0977%"
AS203447,"High % of Obfuscation in AS 0.0977%"
AS203448,"High % of Obfuscation in AS 0.1302%"
AS203476,"High % of Obfuscation in AS 0.0195%"
AS203540,"High % of Obfuscation in AS 0.0434%"
AS203557,"High % of Obfuscation in AS 0.2930%"
AS203622,"High % of Obfuscation in AS 0.0391%"
AS203653,"High % of Obfuscation in AS 0.3125%"
AS203695,"High % of Obfuscation in AS 0.0434%"
AS203698,"High % of Obfuscation in AS 0.0230%"
AS203706,"High % of Obfuscation in AS 0.3906%"
AS203726,"High % of Obfuscation in AS 0.0244%"
AS203735,"High % of Obfuscation in AS 0.1302%"
AS203791,"High % of Obfuscation in AS 0.0977%"
AS203828,"High % of Obfuscation in AS 0.0977%"
AS203877,"High % of Obfuscation in AS 0.0310%"
AS203895,"High % of Obfuscation in AS 0.1302%"
AS203937,"High % of Obfuscation in AS 0.0355%"
AS203978,"High % of Obfuscation in AS 0.0781%"
AS204057,"High % of Obfuscation in AS 0.3906%"
AS204094,"High % of Obfuscation in AS 0.0977%"
AS204108,"High % of Obfuscation in AS 0.0326%"
AS204144,"High % of Obfuscation in AS 0.0206%"
AS204281,"High % of Obfuscation in AS 0.0501%"
AS204390,"High % of Obfuscation in AS 0.0230%"
AS204393,"High % of Obfuscation in AS 0.0781%"
AS204457,"High % of Obfuscation in AS 0.0558%"
AS204499,"High % of Obfuscation in AS 0.0977%"
AS204548,"High % of Obfuscation in AS 0.0355%"
AS204601,"High % of Obfuscation in AS 0.0113%"
AS204622,"High % of Obfuscation in AS 0.0326%"
AS204623,"High % of Obfuscation in AS 0.0977%"
AS204650,"High % of Obfuscation in AS 0.1509%"
AS204684,"High % of Obfuscation in AS 0.3906%"
AS204725,"High % of Obfuscation in AS 0.1953%"
AS20473,"High % of Obfuscation in AS 0.0137%"
AS204736,"High % of Obfuscation in AS 0.2930%"
AS204779,"High % of Obfuscation in AS 0.0977%"
AS204804,"High % of Obfuscation in AS 0.2930%"
AS204834,"High % of Obfuscation in AS 0.0300%"
AS20485,"High % of Obfuscation in AS 0.0179%"
AS204865,"High % of Obfuscation in AS 0.3906%"
AS204923,"High % of Obfuscation in AS 0.0732%"
AS204943,"High % of Obfuscation in AS 0.0977%"
AS204957,"High % of Obfuscation in AS 0.0703%"
AS204997,"High % of Obfuscation in AS 0.0293%"
AS205063,"High % of Obfuscation in AS 0.2604%"
AS205100,"High % of Obfuscation in AS 6.2500%"
AS205115,"High % of Obfuscation in AS 0.0163%"
AS205127,"High % of Obfuscation in AS 0.0977%"
AS20519,"High % of Obfuscation in AS 0.0217%"
AS205235,"High % of Obfuscation in AS 0.7813%"
AS205254,"High % of Obfuscation in AS 0.1953%"
AS205285,"High % of Obfuscation in AS 0.0651%"
AS205352,"High % of Obfuscation in AS 0.0244%"
AS205375,"High % of Obfuscation in AS 0.2930%"
AS205385,"High % of Obfuscation in AS 0.0977%"
AS205399,"High % of Obfuscation in AS 0.0156%"
AS205424,"High % of Obfuscation in AS 0.0244%"
AS205495,"High % of Obfuscation in AS 0.0326%"
AS205498,"High % of Obfuscation in AS 0.0488%"
AS205537,"High % of Obfuscation in AS 0.0977%"
AS205569,"High % of Obfuscation in AS 0.1302%"
AS205619,"High % of Obfuscation in AS 0.0977%"
AS205624,"High % of Obfuscation in AS 0.1116%"
AS205628,"High % of Obfuscation in AS 0.3906%"
AS205636,"High % of Obfuscation in AS 0.0977%"
AS205647,"High % of Obfuscation in AS 0.0355%"
AS205753,"High % of Obfuscation in AS 0.1953%"
AS205872,"High % of Obfuscation in AS 0.3906%"
AS205877,"High % of Obfuscation in AS 0.7813%"
AS205968,"High % of Obfuscation in AS 0.0977%"
AS20598,"High % of Obfuscation in AS 0.0256%"
AS206119,"High % of Obfuscation in AS 0.0206%"
AS206177,"High % of Obfuscation in AS 0.0977%"
AS206206,"High % of Obfuscation in AS 0.1302%"
AS206262,"High % of Obfuscation in AS 0.0977%"
AS206264,"High % of Obfuscation in AS 0.1628%"
AS206281,"High % of Obfuscation in AS 0.0206%"
AS206282,"High % of Obfuscation in AS 0.3906%"
AS206314,"High % of Obfuscation in AS 0.0140%"
AS206358,"High % of Obfuscation in AS 0.1953%"
AS206412,"High % of Obfuscation in AS 0.0109%"
AS206460,"High % of Obfuscation in AS 0.0732%"
AS20649,"High % of Obfuscation in AS 0.1814%"
AS206495,"High % of Obfuscation in AS 0.0781%"
AS206539,"High % of Obfuscation in AS 0.0163%"
AS20665,"High % of Obfuscation in AS 0.0244%"
AS206651,"High % of Obfuscation in AS 0.1953%"
AS206692,"High % of Obfuscation in AS 0.0977%"
AS206756,"High % of Obfuscation in AS 0.1953%"
AS206776,"High % of Obfuscation in AS 0.1953%"
AS206784,"High % of Obfuscation in AS 0.2930%"
AS206804,"High % of Obfuscation in AS 0.0206%"
AS206910,"High % of Obfuscation in AS 0.0977%"
AS206957,"High % of Obfuscation in AS 0.1202%"
AS207138,"High % of Obfuscation in AS 0.0977%"
AS20714,"High % of Obfuscation in AS 0.0355%"
AS207141,"High % of Obfuscation in AS 0.0163%"
AS207185,"High % of Obfuscation in AS 0.0781%"
AS207192,"High % of Obfuscation in AS 0.6836%"
AS207198,"High % of Obfuscation in AS 0.0163%"
AS207219,"High % of Obfuscation in AS 0.1953%"
AS207221,"High % of Obfuscation in AS 2.7344%"
AS20723,"High % of Obfuscation in AS 0.0130%"
AS207369,"High % of Obfuscation in AS 0.0781%"
AS207371,"High % of Obfuscation in AS 0.3906%"
AS207381,"High % of Obfuscation in AS 0.1488%"
AS207416,"High % of Obfuscation in AS 0.1302%"
AS207459,"High % of Obfuscation in AS 0.0260%"
AS207656,"High % of Obfuscation in AS 2.9297%"
AS20766,"High % of Obfuscation in AS 0.0135%"
AS207669,"High % of Obfuscation in AS 0.0977%"
AS207684,"High % of Obfuscation in AS 0.2344%"
AS207709,"High % of Obfuscation in AS 0.1302%"
AS207810,"High % of Obfuscation in AS 0.0977%"
AS207812,"High % of Obfuscation in AS 0.3906%"
AS207925,"High % of Obfuscation in AS 0.3906%"
AS208006,"High % of Obfuscation in AS 0.0279%"
AS208072,"High % of Obfuscation in AS 0.7813%"
AS208139,"High % of Obfuscation in AS 0.1116%"
AS208161,"High % of Obfuscation in AS 0.0391%"
AS208169,"High % of Obfuscation in AS 0.7813%"
AS208294,"High % of Obfuscation in AS 29.2969%"
AS208320,"High % of Obfuscation in AS 0.1953%"
AS208323,"High % of Obfuscation in AS 16.4063%"
AS208494,"High % of Obfuscation in AS 0.0781%"
AS208528,"High % of Obfuscation in AS 0.0355%"
AS208556,"High % of Obfuscation in AS 0.0977%"
AS208592,"High % of Obfuscation in AS 0.0781%"
